1-1: precision(11), sample frequency(100)
-122 -1 0 -1
-122 -1 0 -1
-122 -1 0 -1
-122 -1 0 -1
-122 -1 0 -1
-122 -1 0 -1
-122 -1 0 -1
-1 -1 0 0
-1 -1 0 0
-1 -1 0 0
-1 -1 0 0
-1 -1 0 0
-1 -1 0 0
-1 -1 0 0
-1 -1 0 0
-1 -1 0 0
-122 -1 0 -1
-122 -1 0 -1
-122 -1 0 -1
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
10 -1 1 0
131 -1 1 1
131 -1 1 1
131 -1 1 1
131 -1 1 1
131 -1 1 1
252 -1 1 2
251 -2 1 2
251 -2 1 2
251 -2 1 2
251 -2 1 2
240 -2 0 2
240 -2 0 2
240 -2 0 2
240 -2 0 2
240 -2 0 2
240 -2 0 2
240 -2 0 2
241 -1 0 2
252 -1 1 2
252 -1 1 2
253 0 1 2
253 0 1 2
253 0 1 2
253 0 1 2
253 0 1 2
253 0 1 2
252 -1 1 2
252 -1 1 2
252 -1 1 2
131 -1 1 1
131 -1 1 1
131 -1 1 1
131 -1 1 1
131 -1 1 1
130 -2 1 1
130 -2 1 1
9 -2 1 0
-112 -2 1 -1
-112 -2 1 -1
-112 -2 1 -1
-112 -2 1 -1
-112 -2 1 -1
-112 -2 1 -1
-112 -2 1 -1
-112 -2 1 -1
9 -2 1 0
9 -2 1 0
130 -2 1 1
130 -2 1 1
130 -2 1 1
131 -1 1 1
131 -1 1 1
