6-1: precision(11), sample frequency(100)
-230 1 1 -2
-230 1 1 -2
-230 1 1 -2
-230 1 1 -2
-230 1 1 -2
-230 1 1 -2
-230 1 1 -2
-230 1 1 -2
-230 1 1 -2
-230 1 1 -2
-230 1 1 -2
-109 1 1 -1
-109 1 1 -1
-110 0 1 -1
131 -1 1 1
252 -1 1 2
252 -1 1 2
252 -1 1 2
253 0 1 2
254 1 1 2
254 1 1 2
375 1 1 3
375 1 1 3
496 1 1 4
375 1 1 3
364 1 0 3
364 1 0 3
364 1 0 3
364 1 0 3
364 1 0 3
243 1 0 2
243 1 0 2
243 1 0 2
243 1 0 2
243 1 0 2
254 1 1 2
254 1 1 2
254 1 1 2
133 1 1 1
133 1 1 1
133 1 1 1
122 1 0 1
122 1 0 1
122 1 0 1
122 1 0 1
122 1 0 1
122 1 0 1
243 1 0 2
243 1 0 2
243 1 0 2
243 1 0 2
