7-2: precision(11), sample frequency(100)
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
254 1 1 2
254 1 1 2
254 1 1 2
254 1 1 2
252 -1 1 2
252 -1 1 2
362 -1 0 3
362 -1 0 3
350 -2 -1 3
350 -2 -1 3
350 -2 -1 3
350 -2 -1 3
350 -2 -1 3
240 -2 0 2
240 -2 0 2
251 -2 1 2
251 -2 1 2
251 -2 1 2
251 -2 1 2
130 -2 1 1
130 -2 1 1
130 -2 1 1
130 -2 1 1
130 -2 1 1
130 -2 1 1
130 -2 1 1
130 -2 1 1
130 -2 1 1
130 -2 1 1
9 -2 1 0
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
-111 -1 1 -1
-110 0 1 -1
-110 0 1 -1
-110 0 1 -1
-109 1 1 -1
-109 1 1 -1
-109 1 1 -1
-109 1 1 -1
-109 1 1 -1
-109 1 1 -1
-109 1 1 -1
-109 1 1 -1
-109 1 1 -1
-109 1 1 -1
-109 1 1 -1
-109 1 1 -1
-109 1 1 -1
-109 1 1 -1
133 1 1 1
133 1 1 1
144 1 2 1
144 1 2 1
144 1 2 1
265 1 2 2
265 1 2 2
265 1 2 2
386 1 2 3
386 1 2 3
386 1 2 3
386 1 2 3
386 1 2 3
386 1 2 3
386 1 2 3
385 0 2 3
385 0 2 3
505 -1 2 4
505 -1 2 4
505 -1 2 4
494 -1 1 4
494 -1 1 4
494 -1 1 4
494 -1 1 4
373 -1 1 3
384 -1 2 3
383 -2 2 3
383 -2 2 3
383 -2 2 3
383 -2 2 3
371 -3 1 3
371 -3 1 3
371 -3 1 3
250 -3 1 2
262 -2 2 2
262 -2 2 2
141 -2 2 1
141 -2 2 1
141 -2 2 1
142 -1 2 1
131 -1 1 1
131 -1 1 1
131 -1 1 1
131 -1 1 1
10 -1 1 0
