1-9: precision(11), sample frequency(100)
130 -2 1 1
130 -2 1 1
130 -2 1 1
130 -2 1 1
130 -2 1 1
131 -1 1 1
131 -1 1 1
131 -1 1 1
131 -1 1 1
131 -1 1 1
131 -1 1 1
131 -1 1 1
131 -1 1 1
131 -1 1 1
131 -1 1 1
131 -1 1 1
132 0 1 1
133 1 1 1
133 1 1 1
134 2 1 1
255 2 1 2
255 2 1 2
255 2 1 2
124 3 0 1
124 3 0 1
124 3 0 1
124 3 0 1
124 3 0 1
135 3 1 1
135 3 1 1
134 2 1 1
134 2 1 1
134 2 1 1
134 2 1 1
133 1 1 1
133 1 1 1
253 0 1 2
252 -1 1 2
252 -1 1 2
252 -1 1 2
252 -1 1 2
373 -1 1 3
372 -2 1 3
372 -2 1 3
373 -1 1 3
252 -1 1 2
252 -1 1 2
252 -1 1 2
252 -1 1 2
252 -1 1 2
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
254 1 1 2
254 1 1 2
254 1 1 2
254 1 1 2
