1-1: precision(11), sample frequency(100)
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
112 2 -1 1
2 2 0 0
2 2 0 0
13 2 1 0
13 2 1 0
13 2 1 0
133 1 1 1
133 1 1 1
133 1 1 1
144 1 2 1
265 1 2 2
263 -1 2 2
384 -1 2 3
384 -1 2 3
383 -2 2 3
372 -2 1 3
373 -1 1 3
373 -1 1 3
373 -1 1 3
252 -1 1 2
252 -1 1 2
252 -1 1 2
252 -1 1 2
252 -1 1 2
252 -1 1 2
253 0 1 2
253 0 1 2
254 1 1 2
254 1 1 2
254 1 1 2
133 1 1 1
133 1 1 1
133 1 1 1
254 1 1 2
254 1 1 2
254 1 1 2
254 1 1 2
