4-4: precision(11), sample frequency(100)
122 1 0 1
122 1 0 1
122 1 0 1
122 1 0 1
122 1 0 1
122 1 0 1
122 1 0 1
122 1 0 1
122 1 0 1
122 1 0 1
122 1 0 1
122 1 0 1
122 1 0 1
122 1 0 1
122 1 0 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
122 1 0 1
122 1 0 1
122 1 0 1
122 1 0 1
123 2 0 1
123 2 0 1
134 2 1 1
133 1 1 1
133 1 1 1
134 2 1 1
134 2 1 1
134 2 1 1
134 2 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
254 1 1 2
254 1 1 2
254 1 1 2
253 0 1 2
252 -1 1 2
252 -1 1 2
252 -1 1 2
252 -1 1 2
252 -1 1 2
252 -1 1 2
252 -1 1 2
251 -2 1 2
240 -2 0 2
240 -2 0 2
240 -2 0 2
240 -2 0 2
229 -2 -1 2
108 -2 -1 1
108 -2 -1 1
108 -2 -1 1
108 -2 -1 1
108 -2 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
