2-6: precision(11), sample frequency(100)
497 2 1 4
497 2 1 4
497 2 1 4
497 2 1 4
497 2 1 4
497 2 1 4
497 2 1 4
497 2 1 4
497 2 1 4
497 2 1 4
497 2 1 4
496 1 1 4
496 1 1 4
375 1 1 3
375 1 1 3
375 1 1 3
254 1 1 2
253 0 1 2
253 0 1 2
253 0 1 2
253 0 1 2
132 0 1 1
132 0 1 1
132 0 1 1
132 0 1 1
132 0 1 1
131 -1 1 1
132 0 1 1
0 0 0 0
0 0 0 0
-121 0 0 -1
-120 1 0 -1
-121 0 0 -1
-121 0 0 -1
0 0 0 0
-11 0 -1 0
-12 -1 -1 0
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
229 -2 -1 2
229 -2 -1 2
229 -2 -1 2
229 -2 -1 2
108 -2 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
109 -1 -1 1
111 1 -1 1
122 1 0 1
122 1 0 1
133 1 1 1
134 2 1 1
134 2 1 1
123 2 0 1
123 2 0 1
123 2 0 1
123 2 0 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
111 1 -1 1
110 0 -1 1
110 0 -1 1
110 0 -1 1
110 0 -1 1
-132 0 -1 -1
-132 0 -1 -1
-132 0 -1 -1
-132 0 -1 -1
-133 -1 -1 -1
-121 0 0 -1
-109 1 1 -1
133 1 1 1
133 1 1 1
254 1 1 2
253 0 1 2
374 0 1 3
362 -1 0 3
362 -1 0 3
351 -1 -1 3
351 -1 -1 3
352 0 -1 3
352 0 -1 3
352 0 -1 3
353 1 -1 3
232 1 -1 2
232 1 -1 2
243 1 0 2
243 1 0 2
243 1 0 2
243 1 0 2
243 1 0 2
243 1 0 2
133 1 1 1
133 1 1 1
133 1 1 1
133 1 1 1
134 2 1 1
134 2 1 1
134 2 1 1
134 2 1 1
134 2 1 1
134 2 1 1
145 2 2 1
145 2 2 1
144 1 2 1
144 1 2 1
144 1 2 1
133 1 1 1
253 0 1 2
252 -1 1 2
252 -1 1 2
252 -1 1 2
241 -1 0 2
241 -1 0 2
230 -1 -1 2
230 -1 -1 2
230 -1 -1 2
230 -1 -1 2
230 -1 -1 2
230 -1 -1 2
230 -1 -1 2
120 -1 0 1
120 -1 0 1
120 -1 0 1
131 -1 1 1
132 0 1 1
132 0 1 1
132 0 1 1
133 1 1 1
254 1 1 2
254 1 1 2
254 1 1 2
254 1 1 2
254 1 1 2
